,Date,Year,Type,Country,Area,Location
0,18-Sep-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
3,17-Sep-16,2016,Unprovoked,AUSTRALIA,Victoria,Thirteenth Beach
4,16-Sep-16,2016,Unprovoked,AUSTRALIA,Victoria,Bells Beach
5,15-Sep-16,2016,Boat,AUSTRALIA,Western Australia,Bunbury
6,11-Sep-16,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County"
7,07-Sep-16,2016,Unprovoked,USA,Hawaii,"Makaha, Oahu"
8,06-Sep-16,2016,Unprovoked,NEW CALEDONIA,North Province,Koumac
9,05-Sep-16,2016,Unprovoked,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County"
10,05-Sep-16,2016,Unprovoked,AUSTRALIA,Western Australia,Injidup 
11,04-Sep-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
12,01-Sep-16,2016,Unprovoked,USA,California,"Refugio State Beach, Santa Barbara County"
13,29-Aug-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
15,27-Aug-16,2016,Unprovoked,REUNION,,Boucan Canot
16,25-Aug-16,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County"
17,07-Aug-16,2016,Unprovoked,BAHAMAS,New Providence Island,Nassau
18,06-Aug-16,2016,Unprovoked,USA,Hawaii,Maui
19,04-Aug-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
20,29-Jul-16,2016,Unprovoked,SPAIN,Alicante Province,Arenales del Sol
21,28-Jul-16,2016,Unprovoked,CHINA,Hong Kong,
22,28-Jul-16,2016,Boat,AUSTRALIA,Western Australia,Near Albany
23,27-Jul-16,2016,Provoked,USA,Florida,"Florida Keys, Monroe County"
24,26-Jul-16,2016,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina"
25,24-Jul-16,2016,Unprovoked,JAPAN,Kochi Prefecture,Irino Beach
26,23-Jul-16,2016,Unprovoked,AUSTRALIA,Tasmania,Clifton Beach
27,23-Jul-16,2016,Unprovoked,BAHAMAS,Abaco Islands,Green Turtle Cay
28,20-Jul-16,2016,Provoked,AUSTRALIA,Queensland,"20 k off The Spit, off the Gold Coast"
29,17-Jul-16,2016,Boat,USA,Alabama,8 miles off Mobile
30,16-Jul-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
32,15-Jul-16,2016,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County"
33,  14-Jul-2016,2016,Unprovoked,BAHAMAS,,Tiger Beach
34, 08-Jul-2016,2016,Unprovoked,SPAIN,Canary Islands,"Las Teresitas, Tenerife"
35,08-Jul-16,2016,Boat,USA,California,"Capitola, Santa Cruz County"
36,07-Jul-16,2016,Provoked,USA,Massachusetts,"Off Gloucester, Essec County"
37,07-Jul-16,2016,Boat,USA,California,"Off Palos Verdes peninsula, Los Angeles County"
38,06-Jul-16,2016,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County"
39,04-Jul-16,2016,Provoked,AUSTRALIA,Queensland,Palm Cove 
40,27-Jun-16,2016,Unprovoked,USA,South Carolina,Sullivan's Island
41,25-Jun-16,2016,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County"
42,24-Jun-16,2016,Unprovoked,COLUMBIA,Isla Provedencia,
43,23-Jun-16,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Ryspunt
44,21-Jun-16,2016,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County"
45,21-Jun-16,2016,Unprovoked,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County"
46,15-Jun-16,2016,Unprovoked,USA,Hawaii,"Kalapaki Beach, Kauai"
47,15-Jun-16,2016,Provoked,AUSTRALIA,Western Australia,Coral Bay
48,14-Jun-16,2016,Unprovoked,USA,Texas,"Pirates Beach, Galveston"
49,11-Jun-16,2016,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County"
50,07-Jun-16,2016,Invalid,USA,South Carolina,"Folly Beach, Charleston County"
51,05-Jun-16,2016,Unprovoked,USA,Florida,"Flagler Beach, Flagler County"
52,05-Jun-16,2016,Unprovoked,AUSTRALIA,Western Australia,Mindarie
53,04-Jun-16,2016,Unprovoked,EGYPT,Suez,Ain Sokhna
54,02-Jun-16,2016,Unprovoked,AUSTRALIA,New South Wales,Kingscliff
55,02-Jun-16,2016,Unprovoked,NEW CALEDONIA,," Côte-Blanche, Nouméa "
56,31-May-16,2016,Unprovoked,AUSTRALIA,Western Australia,"Falcon Beach, Mandurah"
57,29-May-16,2016,Unprovoked,USA,California,"Corona Del Mar, Newport, Orange County"
58,29-May-16,2016,Unprovoked,USA,Florida,"Neptune, Duval County"
59,22-May-16,2016,Unprovoked,USA,Florida,"Vero Beach, Indian River County"
60,21-May-16,2016,Unprovoked,USA,Florida,"St. Petersburg, Pinellas County"
61,21-May-16,2016,Unprovoked,USA,Florida,"Hugenot Beach , Jacksonville, Duval County"
62,18-May-16,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County"
63,15-May-16,2016,Provoked,USA,Florida,"Boca Raton, Palm Beach County"
64,03-May-16,2016,Unprovoked,USA,Hawaii,"Wailea Beach, Maui"
65,02-May-16,2016,Provoked,NEW ZEALAND,North Island,Cormandel
66,25-Apr-16,2016,Unprovoked,INDONESIA,Bali,Balian
67,23-Apr-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
68,22-Apr-16,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay"
69,19-Apr-16,2016,Unprovoked,AUSTRALIA,New South Wales,"First Sun Beach, Byron Bay"
70,18-Apr-16,2016,Provoked,FRENCH POLYNESIA,Tuamotos,Makemo Atoll
71,13-Apr-16,2016,Unprovoked,USA,Florida,"Off Singer Island, Palm Beach County"
72,09-Apr-16,2016,Unprovoked,NEW CALEDONIA,Grand Terre,Poe Beach
73,08-Apr-16,2016,Invalid,CAPE VERDE,Boa Vista Island,
74,07-Apr-16,2016,Unprovoked,USA,Florida,"Florida Keys, Monroe County"
75,07-Apr-16,2016,Invalid,USA,Florida,"Corners Beach, Jupiter, Palm Beach County"
76,31-Mar-16,2016,Unprovoked,USA,Hawaii,"Olowalu, Maui"
77,30-Mar-16,2016,Unprovoked,AUSTRALIA,New South Wales,Bombo Beach
78,28-Mar-16,2016,Unprovoked,USA,Florida,"Fort Myers Beach, Lee County"
79,28-Mar-16,2016,Unprovoked,AUSTRALIA,New South Wales,North Cronulla Beach
80,26-Mar-16,2016,Provoked,BAHAMAS,,
81,13-Mar-16,2016,Invalid,USA,California,"Bolsa Chica State Park, Orange County"
82,11-Mar-16,2016,Unprovoked,USA,Florida,"Vero Beach, St. Lucie County"
83,10-Mar-16,2016,Unprovoked,Fiji,Vanua Levu,
84,04-Mar-16,2016,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County"
85, 03-Mar-2016,2016,Unprovoked,AUSTRALIA,South Australia,Wrights Bay
86,02-Mar-16,2016,Unprovoked,BRAZIL,Santa Catarina State,Escalerio Beach Balneário Camboriú
87,22-Feb-16,2016,Unprovoked,NEW CALEDONIA,South Province,"Ricaudy Reef, Noumea"
88, 19-Feb-2016,2016,Unprovoked,NEW CALEDONIA,South Province,Yate
89,12-Feb-16,2016,Unprovoked,DOMINICAN REPUBLIC,Altagracia Province,"Bavaro Beach, Punta Cana"
90, 10-Feb-2016,2016,Invalid,CAYMAN ISLANDS,Grand Cayman,Stingray City Bar
91,10-Feb-16,2016,Invalid,AUSTRALIA,Tasmania,Nettley Bay
92,05-Feb-16,2016,Unprovoked,AUSTRALIA,Queensland,Stradbroke Island
93,04-Feb-16,2016,Unprovoked,AUSTRALIA,New South Wales,Hams Beach
94,29-Jan-16,2016,Boat,SOUTH AFRICA,KwaZulu-Natal,
95,28-Jan-16,2016,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai"
96,25-Jan-16,2016,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai, "
97,24-Jan-16,2016,Unprovoked,USA,Texas,Off Surfside
98,24-Jan-16,2016,Boat,UNITED ARAB EMIRATES,Fujairah Emirate,35 miles off Fujairah
99,23-Jan-16,2016,Unprovoked,USA,Hawaii,"Wailea Beach, Maui"
100, 11-Jan-2016,2016,Unprovoked,AUSTRALIA,Queensland,"Happy Valley Beach, Caloundra"
101,05-Jan-16,2016,Unprovoked,AUSTRALIA,Queensland,Heron Island
102,02-Jan-16,2016,Unprovoked,AUSTRALIA,Queensland,Miall Island
103,26-Dec-15,2015,Boat,SOUTH AFRICA,KwaZulu-Natal,Westbrook Beach
104,25-Dec-15,2015,Unprovoked,SPAIN,Grand Canary Island,"Arinaga Beach, Aguimes, Gran Canaria"
105,22-Dec-15,2015,Unprovoked,USA,Hawaii,La'aloa Beach Park
106,21-Dec-15,2015,Unprovoked,AUSTRALIA,New South Wales,Bondi Beach
107,21-Dec-15,2015,Unprovoked,BRAZIL,Pernambuco,Fernano de Noronha
108,19-Dec-15,2015,Unprovoked,ARUBA,,Boat capsized
109,13-Dec-15,2015,Boat,AUSTRALIA,New South Wales,Lake Macquarie
110,11-Dec-15,2015,Unprovoked,BAHAMAS,,Off Andros Island
111,08-Dec-15,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Mpande
112,16-Nov-15,2015,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County"
113,15-Nov-15,2015,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County"
114,15-Nov-15,2015,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County"
115,10-Nov-15,2015,Unprovoked,AUSTRALIA,New South Wales,East Ballina
116,07-Nov-15,2015,Invalid,USA,Florida,"Paradise Beach, Melbourne, Brevard County"
117,03-Nov-15,2015,Unprovoked,USA,Hawaii,"Kehena Beach, Hawaii"
118,01-Nov-15,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County"
119,01-Nov-15,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,Maxixe
120,30-Oct-15,2015,Unprovoked,AUSTRALIA,Western Australia,Bald Island
121,28-Oct-15,2015,Unprovoked,USA,Hawaii,"Malaka, Oahu"
122,25-Oct-15,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Stil Bay
123,21-Oct-15,2015,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County"
124,19-Oct-15,2015,Unprovoked,USA,Florida,"Deerfield Beach, Broward County"
125,17-Oct-15,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,"Nahaduga, Inhambane Bay"
126,17-Oct-15,2015,Invalid,USA,Hawaii,"Waikiki, "
127,17-Oct-15,2015,Unprovoked,USA,Hawaii,"Lanikai Beach, Kailua, Oahu"
128,13-Oct-15,2015,Boat,USA,California,"Off Leffingwell Landing, San Luis Obispo County"
129,09-Oct-15,2015,Unprovoked,USA,South Carolina,"Shipyard Beach Club, Hilton Head Island, Beaufort County"
130,09-Oct-15,2015,Unprovoked,USA,Hawaii,"Leftovers, Oahu"
131,08-Oct-15,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,"Maxixe, Inhambane Bay"
132,07-Oct-15,2015,Unprovoked,AUSTRALIA,Western Australia,Pyramids Beach
133,05-Oct-15,2015,Unprovoked,USA,Florida,"Pepper Park Beach, St. Lucie County"
134,05-Oct-15,2015,Unprovoked,USA,Texas,Galveston
135,04-Oct-15,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
136,29-Sep-15,2015,Unprovoked,USA,Florida,"Vilano Beach, St.  Johns County"
137,26-Sep-15,2015,Unprovoked,AUSTRALIA,Queensland,"Russel Island, Frankland Group"
138,24-Sep-15,2015,Unprovoked,USA,California,"Horseshoe Rock, Santa Barbara County"
139,20-Sep-15,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
140,20-Sep-15,2015,Unprovoked,USA,Hawaii,"Upolu Point, North Kohala, Big Island"
141,20-Sep-15,2015,Unprovoked,USA,Florida,"Fernandina Beach, Amelia Island, Nassau County"
142,20-Sep-15,2015,Unprovoked,USA,Florida,"Vilano Beach, St.  Johns County"
143,18-Sep-15,2015,Unprovoked,USA,Florida,"Big Talbot Island, Duval County"
144,17-Sep-15,2015,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County"
145,08-Sep-15,2015,Unprovoked,AUSTRALIA,New South Wales,North Shelly Beach
146,06-Sep-15,2015,Unprovoked,USA,California,"El Pescador Beach, Los Angeles County"
147,05-Sep-15,2015,Provoked,USA,California,"Deer Creek Beach, Ventura County"
148,04-Sep-15,2015,Unprovoked,AUSTRALIA,New South Wales,Hallidays Point
149,03-Sep-15,2015,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County"
150,01-Sep-15,2015,Unprovoked,THAILAND,Phuket,Karon Beach
151,Sep-15,2015,Unprovoked,FIJI,,
152,29-Aug-15,2015,Unprovoked,USA,California,"Morro Strand State Beach, San Luis Obispo County"
153,29-Aug-15,2015,Unprovoked,USA,California,"Morro Bay, San Luis Obispo County"
154,22-Aug-15,2015,Invalid,USA,Florida,"Cocoa Beach, Brevard  County"
155,22-Aug-15,2015,Unprovoked,AUSTRALIA,New South Wales,Lighthouse Beach
156,20-Aug-15,2015,Unprovoked,USA,South Carolina,"Murrells Inlet, Georgetown County"
157,19-Aug-15,2015,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County"
158,18-Aug-15,2015,Unprovoked,USA,California,Santa Barbara County
159,18-Aug-15,2015,Invalid,SPAIN,Alicante,"Poniente Beach, Benidorm"
160,10-Aug-15,2015,Provoked,USA,California,Cortes Bank
161,31-Jul-15,2015,Unprovoked,AUSTRALIA,New South Wales,Evans Head
162,26-Jul-15,2015,Unprovoked,USA,Florida,"Daytona Beach, Volusia County"
163,26-Jul-15,2015,Invalid,USA,South Carolina,"Edisto Beach, Colleton County"
164,25-Jul-15,2015,Unprovoked,AUSTRALIA,Tasmania,"Lachan Island, Mercury Passage"
165,23-Jul-15,2015,Provoked,USA,California,"La Jolla, San Diego County"
166,23-Jul-15,2015,Unprovoked,AUSTRALIA,Victoria,Tyrendarra Beach near Portland
167,22-Jul-15,2015,Unprovoked,REUNION,,St. Leu
168,19-Jul-15,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffrey's Bay
169,10-Jul-15,2015,Unprovoked,USA,California,"Huntington Beach, Orange County"
170,08-Jul-15,2015,Invalid,USA,California,"Huntington Beach, Orange County"
171,06-Jul-15,2015,Invalid,FRENCH POLYNESIA,Bora Bora,
172,04-Jul-15,2015,Unprovoked,BAHAMAS,Grand Bahama Island,"Port Lucaya, Freeport"
173,04-Jul-15,2015,Unprovoked,USA,North Carolina,"Off Surf City, Pender County"
174,03-Jul-15,2015,Unprovoked,AUSTRALIA,New South Wales,Lennox Head
175,02-Jul-15,2015,Unprovoked,AUSTRALIA,New South Wales,East Ballina
176,01-Jul-15,2015,Unprovoked,USA,North Carolina,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County"
177,30-Jun-15,2015,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock, Yamba"
178,30-Jun-15,2015,Unprovoked,USA,South Carolina,"Isle of Palms County Park, Isle of Palms, Charleston County"
179,27-Jun-15,2015,Unprovoked,USA,North Carolina,"Rodanthe, Dare County"
180,27-Jun-15,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Buffels Bay near Knysna
181,26-Jun-15,2015,Invalid,USA,Florida,"Jacksonville Beach, Duval County"
182,26-Jun-15,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,"Lookout Beach, Plettenberg Bay"
183,26-Jun-15,2015,Unprovoked,USA,South Carolina,"South Beach, Hunting Island State Park, Beaufort County"
184, 25-Jun-2015,2015,Provoked,AUSTRALIA,Western Australia,Rottnest Island
185,25-Jun-15,2015,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County"
186,24-Jun-15,2015,Unprovoked,USA,North Carolina,Surf City
187,24-Jun-15,2015,Invalid,AUSTRALIA,Western Australia,Denmark
188,23-Jun-15,2015,Unprovoked,USA,South Carolina,"St. Helena Island, Beaufort County"
189,19-Jun-15,2015,Unprovoked,PUERTO RICO,,Off Cabo Rojo
190,17-Jun-15,2015,Unprovoked,USA,Florida,Daytona Beach Shores
191,14-Jun-15,2015,Unprovoked,USA,North Carolina,"Oak Island, Brunswick County"
193,13-Jun-15,2015,Unprovoked,USA,California,Off San Diego
194,11-Jun-15,2015,Unprovoked,USA,North Carolina,"Ocean Isle, Brunswick County"
195,07-Jun-15,2015,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County"
196,05-Jun-15,2015,Unprovoked,USA,Florida,Fort Lauderdale
197,01-Jun-15,2015,Unprovoked,REUNION,Le Port,Folette
198,29-May-15,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County"
199,29-May-15,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
200,25-May-15,2015,Unprovoked,FRENCH POLYNESIA,Rangiroa,Avatoru Pass
201,24-May-15,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County"
202,20-May-15,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
203,15-May-15,2015,Unprovoked,USA,South Carolina,Sullivan's Island
204,09-May-15,2015,Unprovoked,NEW CALEDONIA,,Kouare 
205,07-May-15,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County"
206,03-May-15,2015,Unprovoked,AUSTRALIA,New South Wales,Saltwater Beach
207,02-May-15,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port St. John's
208,29-Apr-15,2015,Unprovoked,USA,Hawaii,Kanahena Cove 
209,26-Apr-15,2015,Unprovoked,USA,Florida,"Resident's Beach, Marco Island"
210,25-Apr-15,2015,Unprovoked,AUSTRALIA,South Australia,Fishery Bay
211,24-Jun-15,2015,Unprovoked,AUSTRALIA,New South Wales,"Belongil Beach, Byron Bay"
212,13-Apr-15,2015,Unprovoked,USA,Florida,"Florida Keys, Monroe County"
213,11-Apr-15,2015,Unprovoked,AUSTRALIA,New South Wales,McKenzies Beach
214,12-Apr-15,2015,Unprovoked,REUNION,Saint-Gilles-les-Bains,Cap Homard
215,31-Mar-15,2015,Invalid,BRAZIL,Pernambuco,"Praia del Chifre, Olinda"
216,03-Apr-15,2015,Unprovoked,USA,Florida,"3 miles off Jupiter, Palm Beach County"
217,29-Mar-15,2015,Invalid,ITALY,Sardinia,
218,26-Mar-15,2015,Boat,SOUTH AFRICA,Eastern Cape Province,Yellow Sands Point
219,21-Mar-15,2015,Unprovoked,EGYPT,,Marsa Alam
220,18-Mar-15,2015,Unprovoked,USA,Hawaii,Hapuna Beach
221,16-Mar-15,2015,Unprovoked,FRENCH POLYNESIA,Bora Bora,Anau
222,11-Mar-15,2015,Boat,AUSTRALIA,New South Wales,"Julian Rocks, Byron Bay"
223,10-Mar-15,2015,Provoked,MEXICO,Sinaloa,Mazlatan
224,07-Mar-15,2015,Unprovoked,FRENCH POLYNESIA,Central Tuamotu,"Tupapati, Hikueru Atoll"
225,15-Feb-15,2015,Boat,ATLANTIC OCEAN,,
226,14-Feb-15,2015,Unprovoked,REUNION,dÉtang-Salé,Ravine Mula
227,09-Feb-15,2015,Unprovoked,AUSTRALIA,New South Wales,Shelly Beach
228,08-Feb-15,2015,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Byron Bay"
229,05-Feb-15,2015,Unprovoked,AUSTRALIA,New South Wales,Mereweather Beach
230,30-Jan-15,2015,Boat,AUSTRALIA,Queensland,"Nerang River, Surfer's  Paradise"
231,27-Jan-15,2015,Provoked,USA,Hawaii,Lahaina
232,24-Jan-15,2015,Unprovoked,AUSTRALIA,New South Wales,Flat Rock
233,19-Jan-15,2015,Boat,USA,Florida,Off Panama City
234,19-Jan-15,2015,Invalid,AUSTRALIA,New South Wales,"Wategos Beach, Byon Bay"
235,17-Jan-15,2015,Boat,AUSTRALIA,New South Wales,Off Blacksmith Beach
236,16-Jan-15,2015,Unprovoked,AUSTRALIA,New South Wales,"Mollymook Beach, Bannister Head"
237,08-Jan-15,2015,Invalid,USA,Florida,
238,06-Jan-15,2015,Unprovoked,BAHAMAS,Abaco Islands,"Tahiti Beach, Elbow Cay"
239,03-Jan-15,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Chintsa East Beach
240,01-Jan-15,2015,Unprovoked,USA,Florida,"Windsor Beach, Indian River County"
241,29-Dec-14,2014,Unprovoked,AUSTRALIA,New South Wales,Bherwerre Beach
242,29-Dec-14,2014,Unprovoked,AUSTRALIA,Western Australia,Three Stripes near Cheynes Beach
243,28-Dec-14,2014,Sea Disaster,GREECE,,33 nautical miles off Othonoi Island
244,28-Dec-14,2014,Invalid,SOUTH AFRICA,KwaZulu-Natal,Durban
245,28-Dec-14,2014,Unprovoked,USA,California,"Montaña de Oro State Park, San Luis Obispo County "
246,28-Dec-14,2014,Provoked,AUSTRALIA,Victoria,Paradise Beach
247, 23-Dec-2014,2014,Unprovoked,JAPAN,,
248,15-Dec-14,2014,Unprovoked,AUSTRALIA,Queensland,Rudder Reef
249, 03-Dec-2014,2014,Provoked,SPAIN,Granada,Off Motril
250,29-Nov-14,2014,Unprovoked,AUSTRALIA,Western Australia,"Pyramids Beach, Port Bouvard"
251,20-Nov-14,2014,Provoked,MAURITIUS,Cargados Carajos Shoals (St. Brandon),
252,19-Nov-14,2014,Boat,AUSTRALIA,Western Australia,Freo
253,16-Nov-14,2014,Unprovoked,USA,Florida,"Indian Harbor Beach, Brevard County"
254, 17-Nov-2014,2014,Boat,USA,California,"Franklin Point, San Mateo County"
255,13-Nov-14,2014,Unprovoked,USA,Hawaii,"Airplane Beach, Lahina, West Maui"
256,10-Nov-14,2014,Unprovoked,AUSTRALIA,New South Wales,Moonee Beach
257,08-Nov-14,2014,Unprovoked,USA,Florida,"Fort Pierce Inlet State Park, St. Lucie County"
258,31-Oct-14,2014,Unprovoked,USA,Hawaii,"North Kohala, Hawaii County"
259,29-Oct-14,2014,Provoked,AUSTRALIA,New South Wales,Wallabi Point
260,22-Oct-14,2014,Unprovoked,USA,Hawaii,"Kihei, Maui"
261,20-Oct-14,2014,Unprovoked,USA,Hawaii,"Kahului, Maui"
262,19-Oct-14,2014,Boat,USA,California,"Leadbetter Beach, Santa Barbara County"
263,18-Oct-14,2014,Unprovoked,USA,Hawaii,"Maalaea, South Maui"
264,17-Oct-14,2014,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach
265,14-Oct-14,2014,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County"
266,12-Oct-14,2014,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County"
267,07-Oct-14,2014,Unprovoked,USA,Florida,"Cherie Down Park, Brevard County"
268,11-Oct-14,2014,Boat,AUSTRALIA,Western Australia,"Castle Rock, north of Dunsborough"
269,05-Oct-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
271,03-Oct-14,2014,Boat,USA,California,Santa Barbara County
273,02-Oct-14,2014,Unprovoked,USA,California,"Walls Beach, Vandenberg AFB, Santa Barbara County"
274,02-Oct-14,2014,Unprovoked,AUSTRALIA,Western Australia,"Kelpids Beach, Wylie Bay, Esperance"
275,21-Sep-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
276, 12-Sep-2014,2014,Unprovoked,FRENCH POLYNESIA,Moorea,Tiahura Lagoon
277,13-Sep-14,2014,Invalid,USA,California,"Manresa State Beach, Santa Cruz County"
278,09-Sep-14,2014,Unprovoked,AUSTRALIA,New South Wales,"Clarkes Beach, Byron Bay"
279,06-Sep-14,2014,Unprovoked,USA,Alabama,"Katrina Cut, Dauphin Island, Mobile County"
280,03-Sep-14,2014,Unprovoked,USA,Massachusetts,"Manomet Point, Plymouth, Plymouth County"
281,02-Sep-14,2014,Provoked,USA,Florida,"Fletcher Beach, Hutchinson Island, Martin County"
282,Sep-14,2014,Unprovoked,SPAIN,Catalonia,Salou
283,31-Aug-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
284,29-Aug-14,2014,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County"
285,29-Aug-14,2014,Invalid,USA,Florida,"Atlantic Beach, Duval County"
286,28-Aug-14,2014,Provoked,USA,Maryland,Assateague National Seashore
287,27-Aug-14,2014,Unprovoked,SPAIN,Alicante,Benidorm
288,27-Aug-14,2014,Unprovoked,USA,North Carolina,"Figure Eight Island,  New Hanover County"
289,27-Aug-14,2014,Unprovoked,USA,South Carolina,"Surfside Beach, Horry  County"
290, 25-Aug-2014,2014,Provoked,USA,Florida,Apalachicola Bay 
291,24-Aug-14,2014,Unprovoked,USA,North Carolina,"Off Masonboro Island, New Hanover County"
292,16-Aug-14,2014,Unprovoked,AUSTRALIA,Western Australia,Gnaraloo
293,12-Aug-14,2014,Unprovoked,USA,Florida,"3 to 4 miles west of Indian Pass, Gulf County"
294,10-Aug-14,2014,Unprovoked,USA,Florida,"Hallandale Beach, Broward County"
295,09-Aug-14,2014,Unprovoked,BAHAMAS,,
296,09-Aug-14,2014,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County"
297,08-Aug-14,2014,Unprovoked,USA,Louisiana,"Lake Ponchartain off Southshore Harbor, New Orleans"
298,06-Aug-14,2014,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County"
299,05-Aug-14,2014,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County"
300,02-Aug-14,2014,Unprovoked,USA,Florida,"South of Cocoa Beach, Brevard County"
301,02-Aug-14,2014,Unprovoked,USA,Florida,"Table Beach, Brevard County"
302,01-Aug-14,2014,Unprovoked,SOUTH AFRICA,Western Cape Province,Muizenberg
303,Aug-14,2014,Invalid,,,
304,27-Jul-14,2014,Unprovoked,USA,North Carolina,"Sunset Beach, Brunswick County"
305,22-Jul-14,2014,Unprovoked,REUNION,Saint-Leu,
306,21-Jul-14,2014,Unprovoked,USA,Florida,"Indialantic, Brevard County"
307,20-Jul-14,2014,Unprovoked,SPAIN,Canary Islands,"Teresita, Santa Cruz, Tenerife"
308,16-Jul-14,2014,Unprovoked,USA,Hawaii,"Paia Bay, Maui"
